"6-7 лет. Прописи с узорами
";"
Перед вами тетрадь для занятий с детьми старшего дошкольного возраста, при помощи которой они смогут научиться рисовать различные узоры по клеточкам.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Прописи с элементами письменных букв
";"
Перед вами тетрадь для занятий с детьми старшего дошкольного возраста, при помощи которой они научатся писать элементы письменных букв.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Прописи. Буквы
";"
Перед вами тетрадь для занятий с детьми старшего дошкольного возраста, при помощи которой они смогут научиться писать печатные буквы.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Прописи. Палочки и крючочки
";"
Перед вами тетрадь для занятий с детьми старшего дошкольного возраста, при помощи которой они научатся писать элементы письменных букв.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Прописи. Цифры
";"
Перед вами тетрадь для занятий с детьми старшего дошкольного возраста, которая поможет им познакомиться с цифрами и научиться их писать.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"uchimsya-logicheski-myslit-6-7-let
";"
Рабочая тетрадь направлена на развитие логики у детей дошкольного возраста. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-razvivaem-rech-4-kr-
";"
Рабочая тетрадь призвана в игровой и доступной форме помочь развить речевые умения и навыки  у детей дошкольного возраста. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Решаем задачки для ума (Рабочая Тетрадь)
";"
ШКОЛА ДЛЯ ДОШКОЛЯТ - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7 лет. Тренажер логопедический
";"
Формирование правильной речи - одна из важных составляющих воспитания и обучения ребенка - дошкольника. Очень важно научить ребенка правильно произносить все звуки родного языка. От четкой и внятной дикции зависит полноценное общение ребенка со сверстниками и взрослыми, успешное овладение грамотой, умение выражать свои мысли. Тренажер поможет закрепить и автоматизировать в речи поставленные звуки.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Тренажер математический
";"
Если вы считаете, что пора развивать математические способности вашего ребенка, учить его мыслить самостоятельно, сравнивать, устанавливать закономерность, то вам пригодится эта книжка. В ней вы найдете задания для старшего дошкольного возраста.Занимаясь по книге, ребенок познакомится с цифрами, числами и геометрическими фигурами, освоит прямой и обратный счет в пределах 20, познакомится со счетом до 100 десятками, научится складывать, вычитать, решать несложные примеры и задачи.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Тренажер по развитию речи
";"
В тренажере охвачены основные разделы речевого развития: развитие фонематического слуха. Формирование грамматического строя речи, обогащение словарного запаса, развитие связной речи.На каждой странице кроме основного задания ребенок найдет дополнительное устное задание по этой теме.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Тренажер по чтению
";"
Если вы решили обучать ребенка чтению в дошкольном возрасте, но не совсем ясно представляете себе, как это сделать, то этот тренажер - то, что вам нужно.Занимаясь по книге, ребенок познакомится с буквами, научится читать слоги, слова, предложения и тексты. В книге содержится много занимательного материала, который позволит активизировать мышление и речь ребенка.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7 лет. Тренажер. Внимание. Память. Мышление
";"
ШКОЛА ДЛЯ ДОШКОЛЯТ - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7-let-treniruem-ruku-shtrikhovka-rab-tetrad
";"
Школа для дошколят - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, тренажеры и прописи, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и детские психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7 лет. Учимся измерять и сравнивать (Рабочая Тетрадь
";"
ШКОЛА ДЛЯ ДОШКОЛЯТ - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту
"

"6-7 лет. Чтение. Учебное пособие
";"
Школа для дошколят - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-gotovim-ruku-k-pismu-rab-tetrad
";"
Рабочая тетрадь представляет собой первый этап подготовки ребенка 6- 7 лет к письму. Она включает упражнения, направленные на отработку начальных графических навыков и правильную постановку руки. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-razvivaem-vnimanie-rab-tetrad
";"
Рабочая тетрадь направлена на развитие внимания у детей дошкольного возраста. Хорошее внимание - важнейшее условие успешного школьного обучения. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-razvivaem-myshlenie-rab-tetr-
";"
Рабочая тетрадь направлена на развитие мышления у детей дошкольного возраста. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-razvivaem-pamyat-rab-tetrad
";"
В рабочей тетради собраны занимательные упражнения, которые помогут развить зрительную и слуховую память малыша. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет Тренажер-пропись. Готовим руку к письму
";"
Тренажер-пропись представляет собой первый этап подготовки ребенка 6-7 лет к письму. Книга состоит из нескольких частей, в которых представлены графические упражнения от простого к сложному. В этих частях собраны основные задания и упражнения по ориентировке руки на листе бумаги, по дорисовке и обводке, штриховке, раскрашиванию, обучению написанию печатных букв.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет Тренажер-пропись. Тренируем пальчики
";"
Тренажер-пропись представляет собой первый этап подготовки ребенка 6-7 лет к письму. Книга состоит из нескольких частей, в которых представлены графические упражнения от простого к сложному. В этих частях собраны основные задания и упражнения по ориентировке руки на листе бумаги, по дорисовке и обводке, штриховке, раскрашиванию. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7-let-uchimsya-pisat-rab-tetrad
";"
Учимся писать - это прописи для дошкольников, направленные на развитие начальных графических навыков и правильную постановку руки. Эти прописи представляют собой второй этап подготовки ребенка к овладению письмом. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7-let-uchimsya-reshat-zadachi-rab-tetrad
";"
Рабочая тетрадь в доступной, игровой форме научит детей, поступающих в школу, решать простые математические задачи на сложение и вычитание, а также логические задачи на сообразительность.Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7-let-uchimsya-schitat-rab-tetrad
";"
Рабочая тетрадь в доступной и игровой форме знакомит детей с основами математики. Выполняя задания, малыш познакомится с цифрами, количественным и порядковым значением чисел, основными математическими знаками, научится решать простые примеры на сложение и вычитание. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

"6-7-let-uchimsya-chitat-rab-tetrad
";"Рабочая тетрадь поможет сформировать у ребенка начальные навыки чтения: научит различать гласные и согласные буквы, заложит основы звукобуквенного анализа, научит читать слова и простые предложения. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
"

"aleksin-a-v-strane-vechnykh-kanikul-lyubimye-detskie-istorii
";"Однажды двенадцатилетний Петька загадал желание: чтобы всегда была новогодняя Елка, чтобы каникулы никогда не кончались и все его развлекали. Случилось чудо, и Дед Мороз исполнил его мечту: Петька попал в страну, которой нет ни на одной карте, ни на одном глобусе - Страну Вечных Каникул. Казалось бы, что может быть лучше - любые лакомства, сплошное веселье и никакой школы. Но почему же Петькиному лучшему другу Валерику эта история совсем не по нраву? Повесть известного писателя Анатолия Алексина с иллюстрациями Бориса Винокурова.
"

"bazhov-p-malakhitovaya-shkatulka-lyubimye-detskie-pisateli
";"В книгу вошли самые лучшие сказы, созданные знаменитым писателем и фольклористом Павлом Бажовым: «Медной горы Хозяйка», «Малахитовая шкатулка», «Каменный цветок» и «Серебряное копытце». В них оживает таинственный мир уральской природы, полный тайн, загадок и неповторимого очарования.
"

"Большая хрестоматия для детского сада
";"В сборник вошли стихи русских поэтов, русские народные сказки, а также сказки зарубежных писателей, рекомендованные для чтения детям дошкольного возраста.
"

"vpered-za-utenkom
";"Необычная книжка-квест для малышей от автора и иллюстратора популярной книжки «Где же дом бобра?» Магнуса Вейтмана. Вместе с маленькой зайчихой Банни можно отправиться в путешествие по полям, лесам и городам, чтобы отыскать пропавшего утенка и проследить нарисованные истории Банни, мышки Марты, горностая Германа, пса Гарри, мистера Гейта, овцы Лауры, курицы Кенни, весёлых семейств лис и оленей.
"

"doyl-a-k-vse-luchshie-rasskazy-o-sherloke-kholmse-vse-istorii
";"Талантливый сыщик Шерлок Холмс появляется в 56 рассказах и 4 повестях английского писателя Артура Конан Дойла. В 1927 г. редакция британского журнала «The Strand», где впервые публиковалось большинство рассказов, попросила автора составить список лучших из них, чтобы затем провести конкурс среди читателей, предложив им отгадать названия рассказов из этого списка. В эту книгу вошли лучшие рассказы о Шерлоке Холмсе по мнению Конан Дойла, а также самая известная повесть «Собака Баскервилей», в которой знаменитый сыщик с успехом расследует запутанное дело о таинственном семейном проклятии.
"

"igry-i-zanyatiya-razvivaem-rech-razvivayushchie-kartochki-0-
";"
Этот набор карточек из уникальной развивающей серии «Умные карточки» содержит игры и задания, направленные на развитие речи. Карточки не только помогут вашему ребенку познакомиться с новыми словами, запомнить их, но и укажут вам направление для бесед, совместной деятельности и развития малыша (его речи, мышления, памяти).Набор состоит из 32 больших карточек размером 10,7 x 15,7 см. На одной стороне карточки крупное изображение предмета по теме, на обратной - несколько вопросов и заданий, которые помогут родителям интересно провести занятие с малышом. Карточки содержат задания разного уровня сложности. Помимо предложенных в наборе занятий, вы можете дать волю фантазии и придумать задания и игры с карточками самостоятельно.
Дополнительно Вы можете скачать бесплатно Библиотеку игр по серии Умные карточки. 0+. 
"

"kradenoe-solntse-panoramka
";"Открыв эту книгу, ребенок познакомится с чудесной сказкой Корнея Чуковского с красочными иллюстрациями Азата Мухтаруллина. На каждом развороте раскрываются объемные панорамные конструкции, и любимые персонажи оживают, а книжка превращается для малыша в настоящий театр!
"

"krylov-i-a-basni
";"В книгу вошли самые известные басни Крылова: Волк и ягненок, Слон и моська, Стрекоза и муравей,  Квартет, «Демьянова уха», «Кукушка и Петух», «Слон на воеводстве», «Волк на псарне», «Тришкин кафтан» и многие другие. Иллюстрации О. и А. Ивановых.
"

"krylov-i-kvartet-basni-db-rosmen
";"«Квартет», «Мартышка и очки», «Волк и Ягнёнок», «Тришкин кафтан», «Демьянова уха», «Волк и Журавль», «Лисица и Виноград» и множество других известных басен Ивана Крылова, входящих в круг чтения дошкольников и младших школьников. Художники О. и А. Ивановы.
"

"mekhanicheskoe-serdtse-1-mekhanicheskoe-serdtse
";"
Викторианская Англия, 1896 год. Жизнь Лили в смертельной опасности. Отец девочки исчез, а саму её преследуют жуткие люди с серебряными глазами. Что же им от неё понадобилось? Лили и её друзьям — Роберту, сыну часовщика, и механическому лису Малкину — предстоит пережить захватывающие приключения и разгадать страшную тайну семьи Лили. Приятелей ждут погони на дирижаблях, неожиданные знакомства, коварные предательства и невероятные потрясения.
Ниже на этой странице Вы можете прочитать первую главу книги бесплатно! 
"

"mekhanicheskoe-serdtse-2-lunnyy-medalon
";"
Вторая часть приключенческой серии «Механическое сердце». Лили и Роберт предвкушают жаркое беззаботное лето, но не тут-то было: жизнь сводит их с гениальным преступником Бубновым Валетом. Валет ищет загадочный Лунный медальон  но это не главная цель его поисков. Из-за мрачных тайн собственного прошлого Роберт становится пешкой в опасной игре Валета. Лили и механическому лису Малкину придётся постараться, чтобы выручить друга до того, как Валет вытащит из рукава последний козырь...
 Ниже на этой странице Вы можете прочитать 1 главу книги бесплатно! 
"

"mozhgina-a-malchik-bez-golovy-rasskazy-knizhka-iz-pod-party
";"Александра Можгина – победительница конкурса «Новая детская книга».В рассказах А. Можгиной, как в детских страшилках, возможно абсолютно все! У Мити под кроватью живет чудовище и требует, чтоб его кормили маринованными огурцами. А Марат загадал стать человеком-пауком  и стал. А у мальчика со звучным именем Колбас откручивалась голова. Думаете, легко это, терять голову? А находить и прикручивать на место? Но что бы ни случилось, в этих самых безумных, самых веселых, леденящих душу историях все кончится хорошо! 
"

"Муми-тролль и зимняя сказка
";"Муми-тролли - одни из самых известных персонажей в мировой детской литературе. Туве Янссон написала о них восемь повестей и сборник рассказов. Если ваш малыш еще не дорос до больших произведений о муми-троллях, серия книжек Муми-тролли для малышей поможет вам познакомить его с этими обаятельными героями уже сейчас!Зимой муми-тролли впадают в спячку, но в этот раз им придется лечь спать попозже, чтобы не пропустить чудесный карнавал.
"

"Муми-тролль и новый друг
";"Муми-тролли - одни из самых известных персонажей в мировой детской литературе. Туве Янссон написала о них восемь повестей и сборник рассказов. Если ваш малыш еще не дорос до больших произведений о муми-троллях, серия книжек Муми-тролли для малышей поможет вам познакомить его с этими обаятельными героями уже сейчас!В этой книге Муми-тролль и Снифф находят на берегу моря бутылку с посланием и отправляются искать того, кто его написал.
"

"Муми-тролль и первый снег
";"Муми-тролли  одни из самых известных персонажей в мировой детской литературе. Туве Янссон написала о них восемь повестей и сборник рассказов. Если ваш малыш еще не дорос до «больших» произведений о муми-троллях, серия книжек «Муми-тролли для малышей» поможет вам познакомить его с этими обаятельными героями уже сейчас!Скоро зима, все муми-тролли впадают в спячку, а Снусмумрик уходит странствовать. Маленький Муми-тролль грустит, что так долго его не увидит, и беспокоится, что тот про него совсем забудет. Но конечно, настоящие друзья всегда помнят друг о друге.
"

"neznayka-khudozhnik-garmoshki
";"Незнайка решил стать художником, вот только портреты коротышек у него получились злые и обидные. Смешная и поучительная история о приключениях одного из самых любимых детских героев. Книжка-гармошка с яркими, веселыми иллюстрациями прекрасно подойдет для совместного чтения и игры с ребенком.
"

"neznayka-iz-tsvetochnogo-goroda-garmoshki
";"Познакомьтесь  это Незнайка, малыш-коротышка, который живет в Цветочном городе. Задиристый, изобретательный, веселый и очень обаятельный! Книжка-гармошка с яркими, веселыми иллюстрациями прекрасно подойдет для совместного чтения и игры с ребенком.
"

"neznayka-puteshestvuet-na-vozdushnom-share-garmoshki
";"Незнайка вместе с друзьями-коротышками поднялся  в небо на воздушном шаре! Чем же закончится это необычное путешествие? Книжка-гармошка с яркими, веселыми иллюстрациями прекрасно подойдет для совместного чтения и игры с ребенком.
"

"neznayka-sochinyaet-stikhi-garmoshki
";"Незнайка сочиняет обидные, но очень смешные стихи про своих друзей-коротышек. Книжка-гармошка с яркими, веселыми иллюстрациями прекрасно подойдет для совместного чтения и игры с ребенком.
"

"nosov-n-dnevnik-koli-sinitsyna-knizhka-iz-pod-party
";"Во время летних каникул школьник Коля Синицын решил вести дневник, чтобы записывать туда разные интересные случаи и мысли. Сперва ничего особенного не происходило, но потом Коля и его друзья нашли себе интересное занятие: задумали разводить пчел. Что из этого получилось, вы прочтете в увлекательной повести Николая Носова. Художник: Чумакова О.
"

"nosov-n-neznayka-na-lune
";"В третьей книге трилогии Николая Носова Незнайка и Пончик отправляются в увлекательное, полное опасностей путешествие на Луну и знакомятся там с лунными коротышками, жизнь которых очень сильно отличается от той, к которой привык Незнайка у себя дома. Но Незнайка не унывает: он приспосабливается к жизни в лунном обществе, пока его друзья, коротышки с Земли, спешат на помощь.Текст в книге представлен без сокращений.
"

"oseeva-v-dinka-lyubimye-detskie-istorii
";"Автобиографическая повесть Динка Валентины Осеевой давно уже стала классической. Детство Динки Арсеньевой выпало на тяжелые годы после русской революции 1905 года. Динка и две ее сестры, Алина и Мышка, растут в семье, связанной с революционным подпольем. Отец вынужден скрываться за границей, и девочками занимается мама и ее сестра. Несмотря на жизненные трудности, живая и непосредственная Динка старается не унывать, то и дело что-нибудь выдумывает и вечно попадает в забавные и непростые ситуации. Настроение книги удивительно точно передают графические иллюстрации Ольги Пустовойт.
"

"ostrov-sokrovishch-chitayu-khorosho
";"Эта книга познакомит ребенка с захватывающим романом Р.Л. Стивенсона Остров сокровищ и пробудит его интерес к самостоятельному чтению больших произведений.Программа Начни читать подготовлена специально для детей с разными навыками чтения. В программу входят книги трех уровней сложности. Уровень 3 Читаю хорошо рассчитан на тех детей, которые уже уверенно читают небольшие тексты, и предназначен для дальнейшего развития навыков чтения. В книгах этого уровня представлены пересказы произведений мировой классики. Знаменитые сюжеты, легко читаемый шрифт, детальные иллюстрации сделают чтение приятным и увлекательным.
"

"petushok-zolotoy-grebeshok-panoramka
";"Открыв эту книгу, ребенок познакомится с русской народной сказкой о золотом петушке и хитрой лисе. На каждом развороте раскрываются объемные панорамные конструкции с красочными иллюстрациями Азата Мухтаруллина, и любимые персонажи оживают, а книжка превращается для малыша в настоящий театр! Сказка представлена в классической обработке Алексея Толстого. В серию «Книжка-панорамка» входят самые популярные детские стихи и сказки для малышей от 2 до 5 лет. Эти уникальные книги, напечатанные на качественном картоне, наверняка полюбятся детям и откроют для них двери в мир чтения. 
"

"Подводный мир. Визуальный гид
";"Из книги ты узнаешь о водных гигантах и карликах, о поведении стайных и одиночных рыб, о взаимовыгодном сотрудничестве морских животных и хитроумных приемах защиты от врагов. Тебе станет понятно, что такое пищевая цепь, чем питаются растения и животные, как рыбы подыскивают себе пару, для чего некоторые из них пересекают океан, почему не всегда заботятся о потомстве. Изучив проблемы океана, ты осознаешь, какой вред наносят ему люди и как можно участвовать в его защите, даже живя очень далеко от побережья. 
"

"raskin-a-kak-papa-byl-malenkim-knizhka-iz-pod-party
";"Папы не всегда были взрослыми. Когда-то они были маленькими, и с ними случались разные смешные истории. Маленькие папы опаздывали в школу, учились музыке и немецкому языку, писали сочинения, выступали на сцене перед одноклассниками и даже сочиняли стихи. Из таких историй, которые писатель Александр Раскин рассказывал своей дочке, и родилась эта книжка. Художник В. Минеев.
"

"Рассказы о природе
";"В книгу вошли произведения: К. Ушинского «Проказы старухи зимы», «Четыре желания»,  Д. Мамина-Сибиряка «Медведко», К. Паустовского «Кот Ворюга», «Барсучий нос», «Заячьи лапы», «Подарок», «Прощание с летом», М. Пришвина «Разговор деревьев», «Этажи леса», «Лисичкин хлеб», «Золотой луг», «Журка», «Хромка», «Еж», Г. Скребицкого «Лесной голосок», «Пушок», «Воришка», «Лесное эхо», В. Бианки «Лесные домишки», «Теремок», «Кто чем поет?», «Чьи это ноги?», Ю. Коваля «Капитан Клюквин», «Бабочка», «Сирень и рябина», «Солнце и снег», «Заячьи тропы», «Соловьи», Н. Сладкова «Лесные силачи», «Медвежья горка», «Выеденное яйцо», «Веселая игра», «Отчего у лисы длинный хвост?». Художники: В. Бастрыкин, Е. Володькина, В. Канивец, В. Коркин, Ю. Николаев, А. Остромецкий, К. Прыткова, К. Романенко, Н. Устинов.
"

"sladkov-n-lesnye-skazki-vch
";"Удивительный, полный тайн и загадок мир дикой природы Многие из них раскроет книга писателя-натуралиста Николая Сладкова. Читая его рассказы, будто переносишься далеко-далеко от дома и встречаешься с забавными обитателями лесов, лугов или подводного мира. Произведения Николая Сладкова рекомендованы для чтения в начальной школе. 
"

"telo-cheloveka-nazyvaem-i-pokazyvaem-razvivayuzie-kartochki-0-
";"
Этот набор карточек из уникальной развивающей серии «Умные карточки» познакомит малыша с названиями частей человеческого тела и научит правильно показывать их. Карточки не только помогут вашему ребенку познакомиться с новыми словами и запомнить их, но и укажут вам направление для бесед, совместной деятельности и развития малыша (его речи, мышления, памяти). В карточках представлено несколько тем: «Части тела», «Эмоции», «Действия». Набор состоит из 32 больших карточек размером 10,7 x 15,7 см. На одной стороне карточки крупное изображение предмета по теме, на обратной - несколько вопросов и заданий, которые помогут родителям интересно провести занятие с малышом. Карточки содержат задания разного уровня сложности. Помимо предложенных в наборе занятий, вы можете дать волю фантазии и придумать задания и игры с карточками самостоятельно.
Дополнительно Вы можете скачать бесплатно Библиотеку игр по серии Умные карточки. 0+. 
"

"tolstoy-l-n-filipok-lipunyushka-i-drugie-rasskazy
";"В книгу вошли рассказы Л.Н. Толстого из «Новой Азбуки» и из «Русских книг для чтения» в иллюстрациях В. Канивца.
"

"trevers-p-meri-poppins-ill-chelak-v-
";"Знаменитая сказочная повесть английской писательницы Памелы Трэверс о необыкновенной няне Мэри Поппинс. Она понимает язык зверей и птиц, знает множество удивительных секретов и даже умеет летать! И разумеется, стоило ей появиться в Доме Номер Семнадцать по Вишнёвому переулку, как жизнь семейства Бэнкс чудесным образом переменилась.
"

"usachev-a-vse-vse-vse-ob-umnoy-sobachke-sone
";"Собачка Соня - не только очень умная и знаменитая, но и чрезвычайно обаятельная собачка. И поэтому ее обожают и дети, и взрослые. В книгу вошли все произведения Андрея Усачева о собачке Соне с иллюстрациями Евгения Антоненкова: «Умная собачка Соня», «Знаменитая собачка Соня», «Дневник умной собачки Сони» и «Азбука умной собачки Сони».
"

"znamenitaya-sobachka-sonya-usachev-a
";"Долгожданное продолжение истории об умной собачке Соне, в котором читатели обязательно встретятся со старыми героями и поближе познакомятся с новыми, а еще узнают, что может быть вкуснее сосисок, кто разбил Соне сердце, как она снялась в рекламе, училась определять время и, конечно, как она стала знаменитой. Иллюстрации Евгения Антоненкова.
"

"usachev-a-umnaya-i-znamenitaya-sobachka-sonya-vneklassnoe-chtenie
";"Собачка Соня очень умная собачка. Почему? Да потому, что она обо всем раздумывает, а если много думать, то непременно станешь умным. Но несмотря на ее раздумья, а может, из-за них, она постоянно попадает в самые забавные ситуации. В книгу вошли: «Умная собачка Соня» и «Знаменитая собачка Соня».
"

"usachev-a-umnaya-sobachka-sonya
";"Собачка Соня очень умная собачка. Почему? Да потому, что она обо всем раздумывает, а если много думать, то непременно станешь умным. Но, несмотря на ее раздумья, а может, из-за них, она постоянно попадает в самые забавные ситуации.Истории про собачку Соню, написанные современным детским писателем Андреем Усачевым, с замечательными иллюстрациями Евгения Антоненкова непременно понравятся всем детям без исключения.
"

"uchimsya-sravnivat-razv-kartochki-0--
";"
Заниматься с набором Умные карточки легко и очень интересно! Красивые большие фотоиллюстрации, увлекательные задания и вопросы - все это направленно на разностороннее развитие крохи.

Набор Учимся сравнивать поможет вашему ребенку не просто познакомиться с новыми понятиями, но и укажет вам направление для бесед, совместной деятельности и развития малыша, его речи, мышления, памяти.

Набор состоит из 32 больших карточек размером 10,7 x 15,7 см. На одной стороне карточки - крупное изображение предмета по теме, на обратной - несколько вопросов и заданий, которые помогут родителям интересно провести занятие с малышом. Карточки содержат задания разного уровня сложности, подобранные с учетом психологических особенностей восприятия и мышления ребёнка. Помимо предложенных в наборе занятий вы можете дать волю фантазии и придумать свои задания и игры с карточками. Таким образом, с одним набором можно заниматься неоднократно, каждый раз находя новые темы для обсуждения и усложняя задания.
Дополнительно Вы можете скачать бесплатно Библиотеку игр по серии Умные карточки. 0+. 
"

